,,,,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
2018-07-03,Tue,FIFA World Cup,Round of 16,Neutral,D 1 (4)–1 (3),eng England,co Colombia,Y,CB,120,91,2,38,46,7,5,91,1,1,100.0,1,0,62,0,Match Report
2018-07-07,Sat,FIFA World Cup,Quarter-finals,Neutral,W 2–0,eng England,se Sweden,Y,CB,90,65,3,21,35,9,5,65,0,1,0.0,1,1,34,0,Match Report
2018-07-11,Wed,FIFA World Cup,Semi-finals,Neutral,L 1–2,eng England,hr Croatia,Y,CB,120,67,9,26,34,7,1,67,2,3,66.7,3,0,43,0,Match Report
2018-07-14,Sat,FIFA World Cup,Third-place match,Neutral,L 0–2,eng England,be Belgium,Y,CB,90,71,7,16,47,9,3,71,0,0,,1,0,56,1,Match Report
2018-08-10,Fri,Premier League,Matchweek 1,Away,L 1–2,Leicester City,Manchester Utd,Y,CB,90,65,1,17,47,3,1,65,0,0,,1,0,50,1,Match Report
2018-08-18,Sat,Premier League,Matchweek 2,Home,W 2–0,Leicester City,Wolves,Y,CB,90,51,10,25,26,0,0,51,1,1,100.0,1,1,29,0,Match Report
2018-08-25,Sat,Premier League,Matchweek 3,Away,W 2–1,Leicester City,Southampton,Y,CB,90,64,10,34,26,4,0,64,1,1,100.0,2,0,39,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-01,Sat,Premier League,Matchweek 4,Home,L 1–2,Leicester City,Liverpool,Y,CB,90,72,8,40,33,1,0,72,1,1,100.0,1,1,40,0,Match Report
2018-09-08,Sat,UEFA Nations League,League A,Home,L 1–2,eng England,es Spain,Y,CB,90,,,,,,,,,,,,,,,Match Report
2018-09-11,Tue,Friendlies (M),Friendlies (M),Home,W 1–0,eng England,ch Switzerland,Y,CB,90,,,,,,,,,,,,,,,Match Report
2018-09-15,Sat,Premier League,Matchweek 5,Away,L 2–4,Leicester City,Bournemouth,Y,CB,90,79,6,32,43,5,4,79,1,1,100.0,1,0,44,1,Match Report
2018-09-22,Sat,Premier League,Matchweek 6,Home,W 3–1,Leicester City,Huddersfield,Y,CB,90,90,10,33,51,6,2,90,0,1,0.0,2,1,65,2,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-29,Sat,Premier League,Matchweek 7,Away,W 2–0,Leicester City,Newcastle Utd,Y,CB,90,75,5,29,43,5,5,75,1,1,100.0,0,1,47,0,Match Report
2018-10-06,Sat,Premier League,Matchweek 8,Home,L 1–2,Leicester City,Everton,Y,CB,90,83,14,39,42,3,0,83,1,1,100.0,1,0,59,0,Match Report
2018-10-12,Fri,UEFA Nations League,League A,Away,D 0–0,eng England,hr Croatia,Y,CB,90,,,,,,,,,,,,,,,Match Report
2018-10-15,Mon,UEFA Nations League,League A,Away,W 3–2,eng England,es Spain,Y,CB,90,,,,,,,,,,,,,,,Match Report
2018-10-22,Mon,Premier League,Matchweek 9,Away,L 1–3,Leicester City,Arsenal,Y,CB,90,47,8,21,24,4,3,47,0,0,,1,0,25,0,Match Report
2018-10-27,Sat,Premier League,Matchweek 10,Home,D 1–1,Leicester City,West Ham,Y,CB,90,84,4,22,48,17,2,84,0,0,,0,0,57,1,Match Report
2018-11-03,Sat,Premier League,Matchweek 11,Away,W 1–0,Leicester City,Cardiff City,Y,CB,26,23,6,15,7,1,1,23,0,0,,4,0,7,1,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-15,Sat,Premier League,Matchweek 17,Away,L 0–1,Leicester City,Crystal Palace,Y,CB,90,77,5,35,43,1,0,77,3,3,100.0,0,0,48,0,Match Report
2018-12-18,Tue,EFL Cup,Quarter-finals,Home,D 1 (1)–1 (3),Leicester City,Manchester City,Y*,CB,120,,,,,,,,,,,,,,,Match Report
2018-12-22,Sat,Premier League,Matchweek 18,Away,W 1–0,Leicester City,Chelsea,Y,CB,90,36,9,25,11,1,1,36,0,0,,1,0,14,0,Match Report
2018-12-26,Wed,Premier League,Matchweek 19,Home,W 2–1,Leicester City,Manchester City,Y,CB,90,50,17,32,17,2,1,50,0,0,,0,0,21,1,Match Report
2018-12-29,Sat,Premier League,Matchweek 20,Home,L 0–1,Leicester City,Cardiff City,Y,CB,90,63,9,30,29,4,2,63,0,0,,4,0,36,2,Match Report
2019-01-01,Tue,Premier League,Matchweek 21,Away,W 1–0,Leicester City,Everton,Y,CB,90,47,11,29,16,2,2,47,1,1,100.0,0,0,16,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-12,Sat,Premier League,Matchweek 22,Home,L 1–2,Leicester City,Southampton,Y,CB,90,93,5,21,44,29,5,93,0,0,,1,0,57,4,Match Report
2019-01-19,Sat,Premier League,Matchweek 23,Away,L 3–4,Leicester City,Wolves,Y,CB,47,30,1,10,14,6,6,30,0,0,,0,1,15,2,Match Report
2019-01-30,Wed,Premier League,Matchweek 24,Away,D 1–1,Leicester City,Liverpool,Y,CB,90,40,9,18,19,3,2,40,0,0,,0,1,12,1,Match Report
2019-02-03,Sun,Premier League,Matchweek 25,Home,L 0–1,Leicester City,Manchester Utd,Y,CB,90,66,2,23,31,12,3,66,0,1,0.0,0,0,40,1,Match Report
2019-02-10,Sun,Premier League,Matchweek 26,Away,L 1–3,Leicester City,Tottenham,Y,CB,90,62,8,24,33,6,3,62,0,0,,1,0,35,0,Match Report
2019-02-23,Sat,Premier League,Matchweek 27,Home,L 1–4,Leicester City,Crystal Palace,Y,CB,90,89,3,22,55,14,3,89,1,1,100.0,0,1,60,0,Match Report
2019-02-26,Tue,Premier League,Matchweek 28,Home,W 2–1,Leicester City,Brighton,Y,CB,90,73,9,33,37,3,2,73,1,1,100.0,0,0,50,0,Match Report
2019-03-03,Sun,Premier League,Matchweek 29,Away,L 1–2,Leicester City,Watford,Y,CB,90,87,4,24,54,10,3,87,1,1,100.0,1,0,68,1,Match Report
2019-03-09,Sat,Premier League,Matchweek 30,Home,W 3–1,Leicester City,Fulham,Y,CB,90,84,6,28,54,3,2,84,0,0,,0,0,62,0,Match Report
2019-03-16,Sat,Premier League,Matchweek 31,Away,W 2–1,Leicester City,Burnley,Y,CB,3,4,0,3,1,0,0,4,0,0,,0,0,4,0,Match Report
2019-03-22,Fri,UEFA Euro Qualifying,Group stage,Home,W 5–0,eng England,cz Czech Republic,Y,CB,90,,,,,,,,,,,,,,,Match Report
2019-03-25,Mon,UEFA Euro Qualifying,Group stage,Away,W 5–1,eng England,me Montenegro,Y,CB,90,,,,,,,,,,,,,,,Match Report
2019-04-12,Fri,Premier League,Matchweek 34,Home,L 0–1,Leicester City,Newcastle Utd,Y,CB,90,133,3,33,97,5,2,133,0,1,0.0,0,0,99,0,Match Report
2019-04-20,Sat,Premier League,Matchweek 35,Away,D 2–2,Leicester City,West Ham,Y,CB,90,66,5,24,37,5,5,66,0,0,,0,0,47,0,Match Report
2019-04-28,Sun,Premier League,Matchweek 36,Home,W 3–0,Leicester City,Arsenal,Y,CB,90,101,9,57,40,4,2,101,1,1,100.0,0,0,67,1,Match Report
2019-05-06,Mon,Premier League,Matchweek 37,Away,L 0–1,Leicester City,Manchester City,Y,CB,90,58,8,38,17,5,1,58,2,2,100.0,1,0,45,1,Match Report
2019-05-12,Sun,Premier League,Matchweek 38,Home,D 0–0,Leicester City,Chelsea,Y,CB,90,79,12,51,28,1,0,79,1,1,100.0,0,0,59,0,Match Report
2019-06-06,Thu,UEFA Nations League,Semi-finals,Neutral,L 1–3,eng England,nl Netherlands,Y,CB,120,,,,,,,,,,,,,,,Match Report
2019-06-09,Sun,UEFA Nations League,Third-place match,Neutral,D 0 (6)–0 (5),eng England,ch Switzerland,Y,CB,120,,,,,,,,,,,,,,,Match Report
,,,,,17-8-19,,,44/44,,3916,2365,238,968,1229,197,77,2365,20,25,80.0,29,8,1512,21,